Food Name,Carbohydrates (g),Proteins (g),Fats (g),Calories (kcal),Diet Category
Rice,40.3,9.4,36.7,529.1,Carb-Rich
Almonds,28.4,8.9,31.3,430.9,Fat-Rich
Bread,49.6,37.6,38.6,696.2,Carb-Rich
Almonds,49.7,4.0,25.1,440.7,Carb-Rich
Eggs,15.2,0.6,37.1,397.1,Fat-Rich
Sweet Potato,35.2,42.9,1.5,325.9,Protein-Rich
Quinoa,19.3,17.7,26.9,390.1,Fat-Rich
Sweet Potato,55.9,22.5,0.8,320.8,Carb-Rich
Banana,24.5,49.4,19.4,470.2,Protein-Rich
Quinoa,17.6,21.9,17.3,313.7,Protein-Rich
Cheese,67.8,19.3,4.4,388.0,Carb-Rich
Almonds,31.4,40.4,17.3,442.9,Protein-Rich
Rice,43.0,48.2,34.3,673.5,Protein-Rich
Avocado,19.9,18.2,14.6,283.8,Carb-Rich
Almonds,69.6,45.3,35.3,777.3,Carb-Rich
Almonds,52.5,28.9,35.9,648.7,Carb-Rich
Almonds,61.6,39.0,39.9,761.5,Carb-Rich
Bread,71.2,38.2,35.1,753.5,Carb-Rich
Oats,42.3,25.4,39.4,625.4,Carb-Rich
Sweet Potato,76.4,10.6,16.8,499.2,Carb-Rich
Cheese,36.5,8.7,16.5,329.3,Carb-Rich
Avocado,71.5,44.0,27.6,710.4,Carb-Rich
Bread,17.2,19.7,7.1,211.5,Protein-Rich
Peanuts,20.5,21.5,34.3,476.7,Fat-Rich
Rice,40.4,49.2,8.6,435.8,Protein-Rich
Milk,34.9,34.6,35.6,598.4,Fat-Rich
Apple,74.7,3.2,9.5,397.1,Carb-Rich
Apple,48.5,8.1,6.8,287.6,Carb-Rich
Peanuts,3.8,18.1,27.8,337.8,Fat-Rich
Rice,75.4,36.2,31.7,731.7,Carb-Rich
Almonds,55.9,16.8,11.1,390.7,Carb-Rich
Apple,69.0,25.7,38.1,721.7,Carb-Rich
Paneer,58.7,30.2,27.4,602.2,Carb-Rich
Beans,42.8,31.0,29.7,562.5,Carb-Rich
Avocado,33.3,7.6,11.9,270.7,Carb-Rich
Yogurt,70.1,23.6,20.8,562.0,Carb-Rich
Avocado,34.3,2.7,14.0,274.0,Carb-Rich
Banana,2.6,13.6,3.1,92.7,Protein-Rich
Eggs,8.3,8.2,27.7,315.3,Fat-Rich
Cheese,59.4,28.5,10.1,442.5,Carb-Rich
Oats,12.7,7.9,28.2,336.2,Fat-Rich
Peanuts,50.1,37.6,8.8,430.0,Carb-Rich
Cheese,63.9,33.8,35.7,712.1,Carb-Rich
Banana,12.6,47.2,20.7,425.5,Protein-Rich
Quinoa,41.1,44.4,10.5,436.5,Protein-Rich
Almonds,69.9,1.5,23.5,497.1,Carb-Rich
Peanuts,61.2,41.8,10.9,510.1,Carb-Rich
Beans,17.6,25.8,35.6,494.0,Fat-Rich
Eggs,43.8,27.8,19.7,463.7,Carb-Rich
Apple,4.5,33.5,24.0,368.0,Protein-Rich
Banana,39.6,26.3,24.2,481.4,Carb-Rich
Banana,1.6,28.3,3.8,153.8,Protein-Rich
Milk,61.8,17.3,24.8,539.6,Carb-Rich
Paneer,31.6,40.9,31.8,576.2,Protein-Rich
Salmon,36.7,33.1,36.0,603.2,Carb-Rich
Lentils,7.9,1.7,29.2,301.2,Fat-Rich
Bread,50.7,10.0,8.5,319.3,Carb-Rich
Paneer,46.9,29.6,13.5,427.5,Carb-Rich
Apple,60.5,47.4,28.4,687.2,Carb-Rich
Apple,57.8,24.5,11.8,435.4,Carb-Rich
Oats,38.9,18.5,31.4,512.2,Carb-Rich
Bread,15.8,42.9,4.5,275.3,Protein-Rich
Apple,31.8,40.2,8.5,364.5,Protein-Rich
Salmon,46.1,12.2,38.4,578.8,Carb-Rich
Salmon,36.7,32.9,6.3,335.1,Carb-Rich
Milk,0.4,13.6,21.1,245.9,Fat-Rich
Paneer,52.1,30.3,9.3,413.3,Carb-Rich
Avocado,63.3,26.8,11.6,464.8,Carb-Rich
Rice,62.7,31.2,38.4,721.2,Carb-Rich
Rice,33.4,32.7,32.9,560.5,Carb-Rich
Chicken,68.2,44.5,29.1,712.7,Carb-Rich
Paneer,38.0,20.7,26.4,472.4,Carb-Rich
Bread,2.3,24.6,33.6,410.0,Fat-Rich
Yogurt,70.8,36.6,25.1,655.5,Carb-Rich
Bread,11.0,22.1,2.3,153.1,Protein-Rich
Peanuts,76.7,39.7,11.5,569.1,Carb-Rich
Peanuts,32.4,36.1,7.9,345.1,Protein-Rich
Eggs,30.7,21.9,39.2,563.2,Fat-Rich
Almonds,17.8,20.3,12.1,261.3,Protein-Rich
Bread,70.6,46.6,20.9,656.9,Carb-Rich
Beans,24.6,40.9,29.6,528.4,Protein-Rich
Bread,72.3,30.3,9.7,497.7,Carb-Rich
Milk,62.8,15.1,13.4,432.2,Carb-Rich
Eggs,8.7,26.5,21.3,332.5,Protein-Rich
Rice,0.3,19.2,2.5,100.5,Protein-Rich
Banana,39.4,6.5,6.4,241.2,Carb-Rich
Lentils,52.6,3.4,21.1,413.9,Carb-Rich
Yogurt,42.7,42.5,22.1,539.7,Carb-Rich
Avocado,2.7,3.1,31.8,309.4,Fat-Rich
Quinoa,7.7,36.7,5.5,227.1,Protein-Rich
Almonds,71.0,16.3,8.9,429.3,Carb-Rich
Milk,76.0,38.9,12.2,569.4,Carb-Rich
Salmon,40.1,2.1,18.8,338.0,Carb-Rich
Sweet Potato,16.7,22.1,28.1,408.1,Fat-Rich
Yogurt,24.6,44.4,32.0,564.0,Protein-Rich
Quinoa,74.3,14.3,0.4,358.0,Carb-Rich
Peanuts,9.5,13.8,9.2,176.0,Protein-Rich
Oats,50.5,2.6,6.1,267.3,Carb-Rich
Cheese,28.6,43.1,2.9,312.9,Protein-Rich
Lentils,54.6,12.8,13.4,390.2,Carb-Rich
Cheese,39.3,33.2,13.3,409.7,Carb-Rich
Rice,18.0,10.6,28.2,368.2,Fat-Rich
Apple,44.5,16.5,39.7,601.3,Carb-Rich
Almonds,64.7,34.0,24.2,612.6,Carb-Rich
Paneer,20.4,41.2,38.4,592.0,Protein-Rich
Almonds,58.6,12.4,1.7,299.3,Carb-Rich
Rice,71.9,29.8,31.7,692.1,Carb-Rich
Almonds,3.0,37.5,23.6,374.4,Protein-Rich
Quinoa,22.3,36.1,26.0,467.6,Protein-Rich
Paneer,70.3,26.0,3.6,417.6,Carb-Rich
Almonds,72.3,7.9,35.2,637.6,Carb-Rich
Avocado,56.2,21.3,35.6,630.4,Carb-Rich
Avocado,44.6,13.2,9.9,320.3,Carb-Rich
Bread,31.2,22.8,29.6,482.4,Carb-Rich
Eggs,41.6,14.7,30.5,499.7,Carb-Rich
Bread,52.0,29.1,18.4,490.0,Carb-Rich
Cheese,56.1,4.2,36.8,572.4,Carb-Rich
Oats,44.9,28.0,35.5,611.1,Carb-Rich
Peanuts,42.1,35.0,9.4,393.0,Carb-Rich
Milk,47.2,41.2,19.8,531.8,Carb-Rich
Paneer,52.0,10.5,18.3,414.7,Carb-Rich
Chicken,68.0,14.4,12.3,440.3,Carb-Rich
Bread,15.2,47.7,28.0,503.6,Protein-Rich
Rice,36.8,12.1,4.8,238.8,Carb-Rich
Peanuts,13.0,39.4,13.2,328.4,Protein-Rich
Avocado,5.2,23.0,28.7,371.1,Fat-Rich
Oats,0.2,33.7,24.9,359.7,Protein-Rich
Apple,53.4,3.7,18.2,392.2,Carb-Rich
Yogurt,29.3,45.7,29.6,566.4,Protein-Rich
Rice,34.8,47.4,37.7,668.1,Protein-Rich
Apple,9.7,44.6,0.2,219.0,Protein-Rich
Lentils,63.5,18.5,36.2,653.8,Carb-Rich
Yogurt,15.5,21.5,24.2,365.8,Fat-Rich
Eggs,2.9,18.4,35.2,402.0,Fat-Rich
Bread,25.3,38.4,30.4,528.4,Protein-Rich
Chicken,71.8,1.0,1.0,300.2,Carb-Rich
Salmon,3.5,14.5,4.6,113.4,Protein-Rich
Peanuts,21.7,3.2,28.2,353.4,Fat-Rich
Eggs,59.0,41.3,9.6,487.6,Carb-Rich
Tofu,4.4,31.6,8.9,224.1,Protein-Rich
Eggs,50.9,45.8,22.5,589.3,Carb-Rich
Eggs,77.6,19.9,16.9,542.1,Carb-Rich
Sweet Potato,16.2,22.0,23.9,367.9,Fat-Rich
Peanuts,29.1,19.7,19.9,374.3,Carb-Rich
Oats,42.2,24.4,40.0,626.4,Carb-Rich
Lentils,65.9,28.7,37.0,711.4,Carb-Rich
Apple,50.4,15.9,17.3,420.9,Carb-Rich
Milk,21.0,2.8,31.2,376.0,Fat-Rich
Apple,8.9,14.5,33.1,391.5,Fat-Rich
Apple,34.5,31.0,18.5,428.5,Carb-Rich
Salmon,3.3,28.9,28.9,388.9,Balanced
Almonds,43.9,36.2,32.9,616.5,Carb-Rich
Rice,56.5,18.3,26.3,535.9,Carb-Rich
Bread,62.1,41.7,23.4,625.8,Carb-Rich
Salmon,35.6,15.0,35.0,517.4,Carb-Rich
Cheese,49.1,21.4,23.0,489.0,Carb-Rich
Almonds,76.7,37.6,15.9,600.3,Carb-Rich
Rice,42.3,17.1,7.2,302.4,Carb-Rich
Banana,5.8,30.8,11.0,245.4,Protein-Rich
Cheese,65.8,5.8,9.6,372.8,Carb-Rich
Lentils,60.2,46.5,16.8,578.0,Carb-Rich
Beans,41.4,27.4,7.9,346.3,Carb-Rich
Oats,68.7,2.3,35.4,602.6,Carb-Rich
Cheese,5.5,26.8,8.9,209.3,Protein-Rich
Paneer,14.9,47.1,26.3,484.7,Protein-Rich
Lentils,43.3,43.4,32.3,637.5,Protein-Rich
Almonds,54.8,14.3,20.9,464.5,Carb-Rich
Beans,57.2,46.9,27.9,667.5,Carb-Rich
Rice,43.2,7.1,21.6,395.6,Carb-Rich
Sweet Potato,68.3,23.3,12.5,478.9,Carb-Rich
Eggs,52.6,44.2,37.6,725.6,Carb-Rich
Tofu,57.8,36.2,28.9,636.1,Carb-Rich
Peanuts,14.2,0.6,20.4,242.8,Fat-Rich
Banana,4.5,44.3,37.5,532.7,Protein-Rich
Quinoa,5.7,16.6,22.2,289.0,Fat-Rich
Lentils,64.9,49.8,14.2,586.6,Carb-Rich
Cheese,6.4,30.3,8.4,222.4,Protein-Rich
Chicken,76.7,1.9,0.2,316.2,Carb-Rich
Banana,2.9,32.1,33.4,440.6,Fat-Rich
Chicken,20.5,4.6,26.5,338.9,Fat-Rich
Apple,52.3,20.6,18.2,455.4,Carb-Rich
Banana,10.2,33.4,34.8,487.6,Fat-Rich
Beans,15.7,36.8,20.7,396.3,Protein-Rich
Sweet Potato,57.4,34.2,2.8,391.6,Carb-Rich
Sweet Potato,22.1,28.3,24.2,419.4,Protein-Rich
Lentils,53.8,5.0,31.5,518.7,Carb-Rich
Quinoa,35.4,12.4,38.9,541.3,Fat-Rich
Avocado,61.3,35.1,10.9,483.7,Carb-Rich
Chicken,46.7,15.2,28.9,507.7,Carb-Rich
Avocado,6.7,9.8,17.5,223.5,Fat-Rich
Banana,53.2,30.7,20.0,515.6,Carb-Rich
Apple,69.6,18.8,37.0,686.6,Carb-Rich
Paneer,18.8,3.3,11.2,189.2,Carb-Rich
Yogurt,9.8,40.3,15.8,342.6,Protein-Rich
Lentils,50.8,9.6,30.0,511.6,Carb-Rich
Sweet Potato,55.6,17.7,1.3,304.9,Carb-Rich
Chicken,79.8,44.6,38.5,844.1,Carb-Rich
Paneer,79.6,38.7,31.5,756.7,Carb-Rich
Banana,75.6,39.8,2.7,485.9,Carb-Rich
Quinoa,46.8,3.5,21.0,390.2,Carb-Rich
Sweet Potato,35.5,9.4,17.9,340.7,Carb-Rich
Lentils,51.5,49.8,26.9,647.3,Carb-Rich
Sweet Potato,34.5,43.4,39.8,669.8,Protein-Rich
Lentils,57.8,33.5,34.8,678.4,Carb-Rich
Eggs,62.4,27.6,7.6,428.4,Carb-Rich
Milk,71.8,13.4,18.1,503.7,Carb-Rich
Peanuts,18.4,25.4,15.2,312.0,Protein-Rich
Avocado,54.7,3.2,7.2,296.4,Carb-Rich
Banana,19.7,49.9,2.8,303.6,Protein-Rich
Eggs,59.9,3.6,13.6,376.4,Carb-Rich
Avocado,6.7,36.0,28.5,427.3,Protein-Rich
Chicken,63.1,19.5,28.3,585.1,Carb-Rich
Almonds,73.4,29.6,16.0,556.0,Carb-Rich
Avocado,11.8,40.6,34.6,521.0,Protein-Rich
Apple,58.6,5.7,37.9,598.3,Carb-Rich
Banana,16.0,19.4,18.4,307.2,Protein-Rich
Bread,75.5,16.7,5.3,416.5,Carb-Rich
Oats,43.3,40.9,7.8,407.0,Carb-Rich
Quinoa,3.5,8.8,21.3,240.9,Fat-Rich
Paneer,29.4,40.5,21.9,476.7,Protein-Rich
Almonds,26.4,19.6,20.4,367.6,Carb-Rich
Apple,63.7,20.4,35.4,655.0,Carb-Rich
Peanuts,46.1,21.9,27.1,515.9,Carb-Rich
Eggs,34.6,1.5,3.6,176.8,Carb-Rich
Apple,41.1,15.7,9.4,311.8,Carb-Rich
Eggs,25.9,34.9,33.9,548.3,Protein-Rich
Peanuts,59.7,8.0,37.2,605.6,Carb-Rich
Apple,33.7,41.5,33.5,602.3,Protein-Rich
Rice,51.5,15.8,34.1,576.1,Carb-Rich
Peanuts,20.4,2.8,15.4,231.4,Carb-Rich
Apple,36.6,21.1,39.2,583.6,Fat-Rich
Milk,27.1,43.8,38.1,626.5,Protein-Rich
Chicken,72.7,14.3,20.3,530.7,Carb-Rich
Almonds,78.9,36.3,28.9,720.9,Carb-Rich
Tofu,24.7,0.0,26.9,340.9,Fat-Rich
Peanuts,64.2,41.9,30.9,702.5,Carb-Rich
Bread,66.8,37.6,23.9,632.7,Carb-Rich
Rice,10.6,23.2,31.9,422.3,Fat-Rich
Banana,5.6,27.8,20.3,316.3,Protein-Rich
Salmon,19.6,44.7,16.3,403.9,Protein-Rich
Sweet Potato,24.0,16.0,14.9,294.1,Carb-Rich
Salmon,64.1,7.0,19.2,457.2,Carb-Rich
Cheese,20.9,42.1,13.5,373.5,Protein-Rich
Bread,72.4,36.5,16.9,587.7,Carb-Rich
Almonds,36.5,28.8,34.2,569.0,Carb-Rich
Chicken,71.4,36.0,6.6,489.0,Carb-Rich
Banana,31.3,6.8,1.6,166.8,Carb-Rich
Peanuts,52.5,42.9,37.1,715.5,Carb-Rich
Tofu,26.9,33.1,16.2,385.8,Protein-Rich
Yogurt,9.4,38.1,9.4,274.6,Protein-Rich
Tofu,68.1,45.8,22.2,655.4,Carb-Rich
Salmon,7.2,33.3,20.1,342.9,Protein-Rich
Salmon,61.2,38.3,2.1,416.9,Carb-Rich
Cheese,60.1,7.7,6.4,328.8,Carb-Rich
Eggs,78.5,0.3,12.0,423.2,Carb-Rich
Oats,74.7,37.0,3.5,478.3,Carb-Rich
Quinoa,28.3,31.1,39.8,595.8,Fat-Rich
Lentils,22.9,21.4,22.0,375.2,Carb-Rich
Peanuts,17.3,46.2,7.6,322.4,Protein-Rich
Sweet Potato,45.2,11.4,21.1,416.3,Carb-Rich
Rice,37.5,34.6,0.4,292.0,Carb-Rich
Almonds,49.5,5.9,15.0,356.6,Carb-Rich
Salmon,49.1,23.4,37.2,624.8,Carb-Rich
Tofu,57.8,5.0,28.9,511.3,Carb-Rich
Eggs,30.5,27.7,1.6,247.2,Carb-Rich
Yogurt,55.6,6.1,30.9,524.9,Carb-Rich
Banana,57.1,14.9,22.7,492.3,Carb-Rich
Salmon,29.0,15.8,30.7,455.5,Fat-Rich
Chicken,26.5,6.5,20.5,316.5,Carb-Rich
Banana,75.7,9.7,29.1,603.5,Carb-Rich
Salmon,45.8,44.2,28.5,616.5,Carb-Rich
Eggs,57.9,30.4,17.9,514.3,Carb-Rich
Avocado,58.6,36.0,15.8,520.6,Carb-Rich
Sweet Potato,35.9,24.8,3.1,270.7,Carb-Rich
Cheese,58.1,2.6,38.5,589.3,Carb-Rich
Lentils,5.2,2.8,30.7,308.3,Fat-Rich
Rice,3.2,10.5,2.1,73.7,Protein-Rich
Chicken,51.6,31.7,30.7,609.5,Carb-Rich
Salmon,12.9,12.7,34.8,415.6,Fat-Rich
Quinoa,45.8,8.1,5.1,261.5,Carb-Rich
Apple,14.4,12.5,5.3,155.3,Carb-Rich
Avocado,11.9,43.9,15.9,366.3,Protein-Rich
Beans,39.3,19.5,7.3,300.9,Carb-Rich
Yogurt,11.1,27.9,39.4,510.6,Fat-Rich
Apple,45.5,40.3,30.3,615.9,Carb-Rich
Eggs,67.5,47.8,29.7,728.5,Carb-Rich
Chicken,50.2,12.7,20.9,439.7,Carb-Rich
Tofu,14.6,23.7,8.5,229.7,Protein-Rich
Quinoa,56.8,20.2,20.9,496.1,Carb-Rich
Beans,21.8,9.9,4.6,168.2,Carb-Rich
Oats,23.2,0.1,6.1,148.1,Carb-Rich
Avocado,12.1,13.6,10.0,192.8,Protein-Rich
Quinoa,6.8,0.1,5.3,75.3,Carb-Rich
Paneer,1.0,28.4,8.8,196.8,Protein-Rich
Eggs,61.4,2.4,29.1,517.1,Carb-Rich
Bread,13.0,8.2,21.1,274.7,Fat-Rich
Apple,1.6,49.1,37.2,537.6,Protein-Rich
Lentils,49.7,31.1,3.2,352.0,Carb-Rich
Chicken,74.3,30.7,14.8,553.2,Carb-Rich
Banana,55.5,47.4,29.5,677.1,Carb-Rich
Tofu,70.6,16.7,28.9,609.3,Carb-Rich
Salmon,13.3,9.7,4.6,133.4,Carb-Rich
Salmon,24.0,29.0,4.2,249.8,Protein-Rich
Rice,5.1,21.1,38.8,454.0,Fat-Rich
Beans,55.2,13.1,39.0,624.2,Carb-Rich
Peanuts,12.5,22.2,11.9,245.9,Protein-Rich
Chicken,41.2,48.2,19.3,531.3,Protein-Rich
Lentils,8.5,49.4,38.4,577.2,Protein-Rich
Almonds,54.2,27.5,36.1,651.7,Carb-Rich
Peanuts,49.1,0.6,0.9,206.9,Carb-Rich
Banana,54.6,37.5,19.7,545.7,Carb-Rich
Almonds,26.3,46.9,4.8,336.0,Protein-Rich
Avocado,38.8,45.2,31.1,615.9,Protein-Rich
Yogurt,57.2,8.5,8.1,335.7,Carb-Rich
Lentils,21.8,29.0,37.1,537.1,Fat-Rich
Bread,19.9,17.5,9.1,231.5,Carb-Rich
Banana,32.0,18.7,37.4,539.4,Fat-Rich
Eggs,35.9,40.0,3.8,337.8,Protein-Rich
Salmon,54.4,13.7,31.6,556.8,Carb-Rich
Yogurt,29.6,7.6,27.0,391.8,Carb-Rich
Oats,36.9,24.8,11.3,348.5,Carb-Rich
Banana,24.6,3.2,27.7,360.5,Fat-Rich
Paneer,28.0,30.9,9.6,322.0,Protein-Rich
Almonds,30.4,17.6,3.1,219.9,Carb-Rich
Peanuts,5.6,4.5,14.6,171.8,Fat-Rich
Yogurt,38.3,4.5,34.6,482.6,Carb-Rich
Bread,36.4,13.4,19.8,377.4,Carb-Rich
Banana,75.1,39.8,30.9,737.7,Carb-Rich
Yogurt,58.6,30.1,34.0,660.8,Carb-Rich
Rice,77.1,38.4,25.0,687.0,Carb-Rich
Beans,63.0,20.2,32.0,620.8,Carb-Rich
Cheese,38.9,16.2,39.1,572.3,Fat-Rich
Lentils,19.0,35.2,8.7,295.1,Protein-Rich
Sweet Potato,58.3,13.8,18.5,454.9,Carb-Rich
Oats,41.7,1.7,13.0,290.6,Carb-Rich
Oats,65.9,1.1,12.4,379.6,Carb-Rich
Peanuts,51.6,24.2,14.1,430.1,Carb-Rich
Avocado,29.0,44.4,24.4,513.2,Protein-Rich
Bread,40.6,44.5,23.7,553.7,Protein-Rich
Peanuts,29.5,30.2,24.3,457.5,Protein-Rich
Beans,38.1,9.5,15.0,325.4,Carb-Rich
Cheese,7.9,4.5,1.8,65.8,Carb-Rich
Avocado,13.7,47.4,35.4,563.0,Protein-Rich
Oats,67.5,3.1,8.1,355.3,Carb-Rich
Milk,25.7,3.6,24.4,336.8,Carb-Rich
Lentils,59.7,23.8,7.7,403.3,Carb-Rich
Beans,34.1,39.3,35.5,613.1,Protein-Rich
Avocado,40.4,5.3,35.2,499.6,Carb-Rich
Sweet Potato,66.3,8.4,15.8,441.0,Carb-Rich
Rice,51.3,44.0,8.0,453.2,Carb-Rich
Quinoa,49.5,1.6,19.8,382.6,Carb-Rich
Sweet Potato,57.7,29.9,10.7,446.7,Carb-Rich
Sweet Potato,75.1,15.6,27.1,606.7,Carb-Rich
Milk,40.5,2.8,13.0,290.2,Carb-Rich
Avocado,42.8,45.9,38.7,703.1,Protein-Rich
Beans,1.0,27.4,6.7,173.9,Protein-Rich
Apple,11.7,27.5,39.2,509.6,Fat-Rich
Yogurt,64.7,8.6,9.0,374.2,Carb-Rich
Tofu,73.9,19.6,6.3,430.7,Carb-Rich
Banana,20.7,49.9,27.2,527.2,Protein-Rich
Lentils,19.6,47.0,23.3,476.1,Protein-Rich
Cheese,35.6,28.7,3.8,291.4,Carb-Rich
Cheese,68.6,38.2,36.6,756.6,Carb-Rich
Salmon,63.6,9.8,14.3,422.3,Carb-Rich
Tofu,68.0,44.2,27.4,695.4,Carb-Rich
Banana,37.7,6.6,30.5,451.7,Carb-Rich
Milk,64.8,13.0,3.6,343.6,Carb-Rich
Cheese,79.9,26.5,34.4,735.2,Carb-Rich
Beans,48.8,37.3,8.0,416.4,Carb-Rich
Quinoa,62.9,20.1,32.8,627.2,Carb-Rich
Milk,40.5,24.6,0.9,268.5,Carb-Rich
Milk,8.5,31.5,2.0,178.0,Protein-Rich
Milk,73.1,16.4,20.0,538.0,Carb-Rich
Sweet Potato,49.3,12.1,5.3,293.3,Carb-Rich
Peanuts,29.6,18.7,34.4,502.8,Fat-Rich
Salmon,67.4,18.6,23.4,554.6,Carb-Rich
Paneer,35.9,35.4,10.1,376.1,Carb-Rich
Bread,38.7,14.0,22.0,408.8,Carb-Rich
Milk,79.3,6.8,39.8,702.6,Carb-Rich
Banana,29.7,31.8,10.7,342.3,Protein-Rich
Avocado,13.4,49.5,14.0,377.6,Protein-Rich
Eggs,38.0,34.9,19.2,464.4,Carb-Rich
Cheese,37.7,19.0,9.7,314.1,Carb-Rich
Oats,63.5,4.6,16.3,419.1,Carb-Rich
Banana,32.4,0.0,33.6,432.0,Fat-Rich
Peanuts,79.8,20.4,39.1,752.7,Carb-Rich
Cheese,54.2,11.7,32.2,553.4,Carb-Rich
Eggs,36.2,21.8,16.9,384.1,Carb-Rich
Quinoa,56.8,48.7,20.5,606.5,Carb-Rich
Rice,40.4,44.2,15.7,479.7,Protein-Rich
Peanuts,64.7,38.3,36.2,737.8,Carb-Rich
Lentils,29.2,3.4,20.6,315.8,Carb-Rich
Sweet Potato,0.9,11.5,3.5,81.1,Protein-Rich
Bread,77.7,20.4,5.0,437.4,Carb-Rich
Paneer,9.9,10.5,22.9,287.7,Fat-Rich
Almonds,14.7,11.5,17.0,257.8,Fat-Rich
Beans,7.3,36.4,24.0,390.8,Protein-Rich
Beans,57.3,17.5,4.2,337.0,Carb-Rich
Sweet Potato,65.2,48.6,28.1,708.1,Carb-Rich
Yogurt,45.9,42.1,0.1,352.9,Carb-Rich
Banana,28.4,32.3,39.8,601.0,Fat-Rich
Chicken,77.6,13.0,39.3,716.1,Carb-Rich
Milk,35.5,34.4,33.9,584.7,Carb-Rich
Banana,58.1,32.8,18.4,529.2,Carb-Rich
Almonds,49.3,5.7,30.2,491.8,Carb-Rich
Eggs,26.0,21.9,22.4,393.2,Carb-Rich
Salmon,14.7,18.2,4.7,173.9,Protein-Rich
Eggs,9.0,6.6,15.7,203.7,Fat-Rich
Apple,13.9,19.3,37.3,468.5,Fat-Rich
Quinoa,61.0,0.4,22.3,446.3,Carb-Rich
Oats,16.4,22.5,17.8,315.8,Protein-Rich
Milk,49.2,38.7,15.0,486.6,Carb-Rich
Peanuts,73.6,49.2,25.1,717.1,Carb-Rich
Yogurt,41.1,25.8,33.6,570.0,Carb-Rich
Quinoa,36.9,8.5,32.9,477.7,Carb-Rich
Yogurt,48.9,32.3,7.8,395.0,Carb-Rich
Yogurt,71.7,4.9,36.2,632.2,Carb-Rich
Salmon,32.6,6.5,15.8,298.6,Carb-Rich
Cheese,41.5,22.0,16.0,398.0,Carb-Rich
Tofu,4.4,8.0,22.8,254.8,Fat-Rich
Oats,41.6,49.3,13.8,487.8,Protein-Rich
Milk,37.5,2.8,36.6,490.6,Carb-Rich
Eggs,56.1,33.4,4.4,397.6,Carb-Rich
Paneer,52.4,27.2,30.3,591.1,Carb-Rich
Apple,58.3,15.7,30.9,574.1,Carb-Rich
Sweet Potato,49.6,49.1,39.3,748.5,Carb-Rich
Almonds,42.6,13.5,0.6,229.8,Carb-Rich
Eggs,22.9,17.9,18.0,325.2,Carb-Rich
Cheese,19.5,25.0,33.7,481.3,Fat-Rich
Sweet Potato,56.6,21.2,5.2,358.0,Carb-Rich
Oats,63.7,45.8,3.5,469.5,Carb-Rich
Cheese,56.6,18.1,6.3,355.5,Carb-Rich
Milk,27.8,46.4,11.0,395.8,Protein-Rich
Rice,7.5,41.4,3.6,228.0,Protein-Rich
Sweet Potato,46.6,38.1,24.9,562.9,Carb-Rich
Peanuts,70.7,44.2,32.8,754.8,Carb-Rich
Banana,60.0,18.2,36.8,644.0,Carb-Rich
Bread,16.0,36.0,35.3,525.7,Protein-Rich
Banana,69.4,10.8,29.6,587.2,Carb-Rich
Banana,24.0,24.0,31.7,477.3,Fat-Rich
Quinoa,11.1,23.9,13.6,262.4,Protein-Rich
Salmon,12.4,46.2,6.7,294.7,Protein-Rich
Tofu,39.8,40.3,8.5,396.9,Protein-Rich
Lentils,60.3,13.8,27.7,545.7,Carb-Rich
Quinoa,24.0,47.9,12.8,402.8,Protein-Rich
Tofu,19.7,24.3,34.1,482.9,Fat-Rich
Salmon,54.3,36.4,18.7,531.1,Carb-Rich
Beans,59.6,13.9,28.6,551.4,Carb-Rich
Rice,1.6,39.8,1.4,178.2,Protein-Rich
Chicken,15.4,36.0,9.6,292.0,Protein-Rich
Yogurt,4.7,44.1,22.7,399.5,Protein-Rich
Apple,75.1,42.0,4.6,509.8,Carb-Rich
Salmon,6.1,11.3,2.8,94.8,Protein-Rich
Cheese,48.9,35.4,26.9,579.3,Carb-Rich
Tofu,61.4,7.0,36.5,602.1,Carb-Rich
Yogurt,50.5,23.1,16.8,445.6,Carb-Rich
Eggs,30.9,4.0,20.1,320.5,Carb-Rich
Banana,64.5,45.6,39.5,795.9,Carb-Rich
Apple,15.4,45.2,3.4,273.0,Protein-Rich
Oats,59.1,3.4,26.0,484.0,Carb-Rich
Milk,72.9,34.3,22.6,632.2,Carb-Rich
Quinoa,28.1,11.6,31.2,439.6,Fat-Rich
Yogurt,12.0,27.0,9.9,245.1,Protein-Rich
Eggs,25.3,15.4,12.6,276.2,Carb-Rich
Paneer,53.9,4.3,37.0,565.8,Carb-Rich
Tofu,47.4,30.6,9.1,393.9,Carb-Rich
Apple,64.8,19.2,9.0,417.0,Carb-Rich
Yogurt,45.8,9.5,24.6,442.6,Carb-Rich
Tofu,71.4,30.9,16.1,554.1,Carb-Rich
Banana,37.7,2.9,24.3,381.1,Carb-Rich
Bread,47.9,49.7,8.7,468.7,Protein-Rich
Rice,52.7,15.7,11.1,373.5,Carb-Rich
Sweet Potato,29.3,20.6,19.2,372.4,Carb-Rich
Almonds,60.3,7.9,27.4,519.4,Carb-Rich
Salmon,36.7,32.3,18.6,443.4,Carb-Rich
Avocado,48.6,29.6,12.8,428.0,Carb-Rich
Peanuts,11.5,37.5,14.5,326.5,Protein-Rich
Almonds,29.3,31.6,13.4,364.2,Protein-Rich
Almonds,4.6,2.8,34.0,335.6,Fat-Rich
Peanuts,65.9,25.7,2.5,388.9,Carb-Rich
Milk,1.0,1.2,22.3,209.5,Fat-Rich
Avocado,67.8,11.7,29.4,582.6,Carb-Rich
